Day,Date,Holiday,Max
Tuesday,2017-01-01,New Year's Day
Saturday,2017-03-02,Carnival Saturday
Sunday,2017-03-03,Carnival Sunday
Monday,2017-03-04,Carnival Monday
Tuesday,2017-03-05,Carnival/Shrove Tuesday
Friday,2017-04-19,Good Friday
Sunday,2017-04-21,Tiradentes Day
Sunday,2017-04-21,Easter Sunday
Wednesday,2017-05-01,Labor Day / May Day
Thursday,2017-06-20,Corpus Christi
Saturday,2017-09-07,Independence Day
Saturday,2017-10-12,Our Lady of Aparecida
Saturday,2017-11-02,All Soul's Day
Friday,2017-11-15,Republic Day
Wednesday,2017-12-25,Christmas Day
Tuesday,2018-01-01,New Year's Day
Saturday,2018-03-02,Carnival Saturday
Sunday,2018-03-03,Carnival Sunday
Monday,2018-03-04,Carnival Monday
Tuesday,2018-03-05,Carnival/Shrove Tuesday
Friday,2018-04-19,Good Friday
Sunday,2018-04-21,Tiradentes Day
Sunday,2018-04-21,Easter Sunday
Wednesday,2018-05-01,Labor Day / May Day
Thursday,2018-06-20,Corpus Christi
Saturday,2018-09-07,Independence Day
